id,carat,cut,color,clarity,depth,table,x,y,z,price
1,0.53,Very Good,D,VS2,63.2,56.0,5.1,5.15,3.24,1601
2,0.32,Premium,H,VS2,62.4,58.0,4.36,4.33,2.71,648
3,0.76,Ideal,I,SI1,61.8,57.0,5.89,5.83,3.62,2399
4,1.01,Good,H,VS2,60.8,61.0,6.43,6.5,3.93,5229
5,0.73,Ideal,I,VS1,62.1,54.0,5.77,5.8,3.59,2167
6,0.31,Premium,D,SI1,62.1,58.0,4.33,4.3,2.68,732
7,0.32,Very Good,H,SI1,61.8,56.0,4.38,4.41,2.71,482
8,0.32,Ideal,H,SI1,61.2,56.0,4.43,4.46,2.72,430
9,0.7,Very Good,F,SI1,61.1,57.0,5.7,5.73,3.49,2409
10,1.8,Ideal,F,SI1,61.4,54.0,7.86,7.82,4.81,16340
11,1.23,Ideal,F,SI2,62.1,57.0,6.83,6.8,4.23,4819
12,0.31,Very Good,H,VS2,62.5,54.0,4.35,4.39,2.73,489
13,0.5,Ideal,F,VS1,61.6,57.0,5.07,5.09,3.13,1695
14,1.0,Good,E,VS2,64.1,54.0,6.26,6.31,4.03,6315
15,1.42,Ideal,I,VS2,62.9,57.0,7.21,7.07,4.49,6069
16,0.62,Ideal,I,SI1,61.9,54.0,5.48,5.5,3.4,1271
17,0.9,Good,D,SI1,63.8,58.0,6.13,6.09,3.9,4120
18,1.0,Very Good,I,SI1,59.3,63.0,6.52,6.47,3.85,3360
19,0.56,Ideal,H,VS1,62.2,55.3,5.26,5.31,3.28,1691
20,1.04,Ideal,F,SI2,62.0,54.0,6.49,6.51,4.03,4695
21,0.3,Ideal,G,VVS2,61.1,57.0,4.35,4.32,2.65,878
22,0.3,Ideal,I,SI1,60.4,59.0,4.33,4.35,2.62,439
23,1.04,Very Good,F,VS1,63.0,56.0,6.45,6.5,4.08,7207
24,1.1,Premium,G,SI1,62.3,58.0,6.61,6.55,4.1,5088
25,0.41,Premium,F,VVS1,61.8,59.0,4.77,4.74,2.94,1356
26,0.54,Ideal,H,SI2,61.2,56.0,5.27,5.24,3.21,1208
27,0.53,Premium,G,VS2,59.9,60.0,5.28,5.24,3.15,1435
28,0.73,Very Good,E,VS2,62.9,58.0,5.7,5.75,3.6,3184
29,0.32,Ideal,E,VS2,62.0,55.0,4.46,4.38,2.74,900
30,0.71,Ideal,D,SI2,62.3,56.0,5.73,5.69,3.56,2762
31,0.51,Premium,D,SI1,60.3,59.0,5.2,5.22,3.14,1569
32,0.9,Premium,G,VS2,61.8,60.0,6.16,6.21,3.82,4386
33,0.5,Ideal,H,VS1,61.1,56.0,5.1,5.14,3.13,1637
34,0.42,Very Good,H,SI1,61.5,54.0,4.87,4.89,3.0,670
35,1.05,Ideal,F,VVS2,61.9,57.0,6.52,6.5,4.03,9032
36,1.25,Premium,H,VS1,61.3,55.0,6.96,6.93,4.26,8099
37,0.31,Premium,H,VS1,59.9,59.0,4.4,4.38,2.63,698
38,1.12,Premium,J,VS2,58.6,58.0,6.85,6.81,4.0,4422
39,0.32,Ideal,I,VS2,63.0,57.0,4.37,4.33,2.74,576
40,1.38,Ideal,I,SI2,61.8,57.0,7.14,7.1,4.4,5796
41,0.9,Ideal,E,VS2,62.7,56.0,6.14,6.18,3.86,4770
42,0.79,Premium,D,SI2,61.8,58.0,5.95,5.89,3.66,2735
43,0.9,Fair,E,SI2,64.5,57.0,6.13,6.09,3.94,3342
44,1.0,Very Good,E,SI1,59.6,60.0,6.58,6.51,3.9,5257
45,0.57,Ideal,G,VS1,61.3,56.0,5.36,5.34,3.28,1949
46,1.01,Very Good,F,VS2,62.7,56.0,6.37,6.43,4.01,6159
47,0.31,Ideal,G,VVS2,61.9,55.0,4.36,4.33,2.69,907
48,0.7,Very Good,D,SI1,60.3,60.0,5.74,5.77,3.47,2656
49,1.51,Very Good,J,VS2,62.8,59.0,7.2,7.28,4.55,7418
50,0.4,Premium,J,VS2,60.9,62.0,4.76,4.73,2.89,765
51,0.58,Ideal,G,VS2,61.1,55.0,5.45,5.42,3.32,1641
52,0.32,Ideal,F,VVS2,60.7,57.0,4.42,4.45,2.69,1068
53,1.05,Fair,F,SI2,66.0,60.0,6.3,6.22,4.13,3615
54,1.01,Fair,F,SI2,66.7,64.0,6.14,6.05,4.06,3597
55,1.0,Fair,G,SI1,68.2,60.0,6.02,5.94,4.08,3833
56,0.34,Premium,G,VS1,60.4,61.0,4.53,4.48,2.72,880
57,0.75,Ideal,H,SI1,61.9,56.0,5.81,5.85,3.61,3011
58,0.92,Premium,H,SI1,62.0,60.0,6.27,6.21,3.87,3555
59,1.58,Very Good,F,SI2,63.2,57.0,7.43,7.38,4.68,6813
60,1.51,Premium,H,VS2,63.0,58.0,7.34,7.27,4.6,10548
61,0.71,Very Good,F,SI1,62.4,59.0,5.64,5.7,3.54,2590
62,1.74,Premium,J,VS2,61.9,62.0,7.62,7.54,4.7,8364
63,1.01,Ideal,G,VS2,62.4,57.0,6.39,6.36,3.98,6340
64,0.9,Very Good,G,VS2,63.1,56.0,6.14,6.04,3.84,4309
65,1.01,Premium,J,SI2,58.3,62.0,6.49,6.43,3.77,2683
66,1.57,Ideal,J,VS2,62.3,54.0,7.5,7.49,4.67,8363
67,0.53,Premium,F,VS2,61.4,60.0,5.18,5.21,3.19,1631
68,0.72,Very Good,D,VS1,62.7,58.0,5.65,5.68,3.55,2951
69,0.51,Ideal,G,VS1,62.2,55.0,5.14,5.11,3.19,1781
70,0.31,Ideal,E,VVS2,61.6,56.0,4.39,4.35,2.69,1074
71,0.73,Premium,E,VS2,58.6,60.0,5.92,5.89,3.46,2812
72,0.77,Premium,G,VS2,61.3,57.0,5.93,5.88,3.62,2803
73,1.05,Ideal,F,SI1,61.8,57.0,6.54,6.51,4.03,4816
74,1.2,Premium,G,VS1,61.4,60.0,6.86,6.81,4.2,8596
75,1.0,Ideal,F,VVS2,61.3,56.0,6.44,6.41,3.94,5914
76,0.38,Ideal,G,VS2,61.6,57.0,4.62,4.66,2.86,743
77,0.39,Very Good,G,VVS2,62.1,55.0,4.67,4.7,2.91,875
78,0.9,Premium,I,VS1,62.9,60.0,6.09,6.05,3.82,3484
79,2.36,Ideal,H,SI2,62.2,55.0,8.51,8.56,5.3,17569
80,1.55,Very Good,H,SI1,63.2,57.0,7.35,7.31,4.64,7066
81,0.31,Good,G,VS2,63.1,56.0,4.31,4.37,2.74,544
82,1.08,Ideal,H,VVS2,62.4,55.0,6.53,6.57,4.09,6856
83,0.34,Ideal,H,VS2,61.4,57.0,4.55,4.48,2.77,689
84,2.17,Premium,J,SI2,62.3,60.0,8.33,8.2,5.15,13395
85,1.01,Premium,D,SI1,61.8,60.0,6.37,6.35,3.93,5543
86,1.11,Ideal,I,SI1,62.4,55.0,6.6,6.64,4.13,4273
87,1.0,Very Good,H,SI1,61.5,59.0,6.35,6.4,3.92,5036
88,0.33,Premium,E,SI2,59.7,58.0,4.48,4.53,2.69,463
89,0.7,Ideal,E,SI1,60.2,57.0,5.78,5.82,3.49,2575
90,1.06,Ideal,F,I1,62.1,55.0,6.54,6.57,4.07,3544
91,0.41,Ideal,E,VVS2,61.0,56.0,4.82,4.79,2.93,1243
92,1.0,Fair,G,I1,67.3,57.0,6.26,6.12,4.18,1954
93,0.76,Ideal,G,VS2,61.7,54.0,5.88,5.92,3.64,2954
94,0.3,Very Good,H,VS2,62.6,58.0,4.22,4.28,2.66,473
95,0.9,Good,E,VVS1,63.4,60.0,6.06,6.11,3.86,7214
96,0.26,Ideal,F,VVS1,61.6,57.0,4.1,4.08,2.52,769
97,0.74,Very Good,E,SI2,63.0,58.0,5.73,5.77,3.62,2282
98,0.71,Ideal,E,VS1,62.3,54.0,5.69,5.73,3.56,3212
99,0.52,Ideal,E,SI1,63.0,54.0,5.15,5.11,3.23,1429
100,0.7,Premium,G,VVS2,61.8,58.0,5.67,5.63,3.49,2874
101,0.39,Ideal,I,IF,62.3,54.0,4.69,4.71,2.93,895
102,0.51,Good,E,VS2,63.8,57.0,5.07,5.05,3.23,1662
103,1.0,Premium,D,VVS1,62.9,58.0,6.34,6.28,3.97,10752
104,1.03,Premium,F,VS2,62.4,58.0,6.47,6.42,4.02,6307
105,0.54,Premium,H,SI2,61.8,60.0,5.2,5.16,3.2,972
106,0.3,Ideal,D,VVS1,62.2,57.0,4.35,4.3,2.69,1112
107,0.9,Very Good,H,VS1,62.8,59.0,6.07,6.15,3.84,4685
108,0.3,Very Good,F,VS2,62.9,57.0,4.29,4.33,2.71,605
109,0.5,Ideal,D,SI2,62.4,56.0,5.06,5.1,3.17,1239
110,0.33,Ideal,D,VS2,62.3,54.0,4.43,4.46,2.77,667
111,0.31,Premium,E,VS1,60.2,58.0,4.43,4.38,2.65,942
112,1.72,Ideal,H,VS2,61.9,56.0,7.7,7.75,4.78,15197
113,0.31,Premium,G,SI1,62.1,58.0,4.33,4.36,2.7,462
114,0.38,Premium,D,VS1,61.9,60.0,4.66,4.62,2.87,1140
115,0.51,Good,G,VS2,63.9,56.0,5.1,5.07,3.25,1443
116,1.66,Very Good,G,VS2,63.2,56.0,7.61,7.49,4.77,15229
117,0.72,Very Good,I,VS2,61.6,59.0,5.71,5.75,3.53,2359
